Wall time,Step,Value
1783274991.095525,16384,-0.026656627655029297
1783275057.6802273,24576,0.054146766662597656
1783275125.1479256,32768,0.10398983955383301
1783275224.8001761,40000,0.17932486534118652
1783275342.9998655,49152,0.19857841730117798
1783275410.7268524,57344,0.17955803871154785
1783275478.1810708,65536,0.4657803177833557
1783275545.7624614,73728,0.44269245862960815
1783275613.2138307,80000,0.7197034358978271
1783275695.8422852,90112,0.6484633684158325
1783275764.3334126,98304,0.8048980236053467
1783275832.6892736,106496,0.8623239994049072
1783275901.2512476,114688,0.8891956806182861
1783275959.4879434,120000,0.8804798126220703
1783276049.4932723,131072,0.9058959484100342
1783276117.731326,139264,0.9056224822998047
1783276185.4138966,147456,0.9041640758514404
1783276252.7184286,155648,0.9041026830673218
1783276315.9164808,160000,0.8990611433982849
1783276412.821276,172032,0.9070224165916443
1783276480.4588537,180224,0.9350392818450928
1783276547.7476306,188416,0.9372972846031189
1783276615.753231,196608,0.9461910128593445
1783276681.9702208,200000,0.9437061548233032
1783276785.28463,212992,0.9576339721679688
1783276853.5256968,221184,0.9730544090270996
1783276921.194116,229376,0.964676558971405
1783276988.4214513,237568,0.964022159576416
1783277051.310189,240000,0.9685384035110474
1783277162.7833397,253952,0.9584097266197205
1783277230.5052173,262144,0.9353382587432861
1783277298.1568143,270336,0.9738792777061462
1783277366.2649128,278528,0.9630860686302185
1783277425.7724388,280000,0.9672166705131531
1783277544.0746694,294912,0.9550741910934448
1783277612.3264775,303104,0.9577991962432861
1783277680.1555088,311296,0.9581127762794495
1783277747.8055751,319488,0.9473969340324402
1783277800.7381492,320000,0.9398040175437927
1783277926.0963433,335872,0.9088013768196106
1783277994.5659654,344064,0.9187604784965515
1783278062.755489,352256,0.9040774703025818
1783278168.3078983,360000,0.8506149053573608
1783278239.8438225,368640,0.8588526248931885
1783278308.1167397,376832,0.8745951056480408
1783278376.6625462,385024,0.8980839252471924
1783278445.2529383,393216,0.9093940258026123
1783278548.3300195,400000,0.8688303828239441
1783278626.942424,409600,0.846868634223938
1783278695.2082293,417792,0.9005146026611328
1783278763.41163,425984,0.8708164095878601
1783278832.2620966,434176,0.8951498866081238
1783278927.464159,440000,0.9144805669784546
1783279012.7999952,450560,0.8375544548034668
1783279080.9187248,458752,0.9303288459777832
1783279149.533177,466944,0.8892776966094971
1783279217.6410363,475136,0.871070384979248
1783279306.8491137,480000,0.8954904675483704
1783279399.5434396,491520,0.8360936641693115
1783279467.7324712,499712,0.8356626033782959
1783279536.2304666,507904,0.8438836336135864
1783279604.4301069,516096,0.9043996334075928
1783279680.5419676,520000,0.7452967166900635
1783279780.9626293,532480,0.8369356989860535
1783279849.2011936,540672,0.8646818995475769
1783279917.3880825,548864,0.8481743335723877
1783279986.543149,557056,0.8593844175338745
1783280061.1368904,560000,0.7748956680297852
1783280168.333696,573440,0.8781204223632812
1783280237.0447774,581632,0.8284171223640442
1783280305.5216827,589824,0.8420162796974182
1783280373.8806164,598016,0.7820069789886475
1783280438.3173542,600000,0.8781139850616455
1783280552.506432,614400,0.8593331575393677
1783280620.574184,622592,0.9101049900054932
1783280688.9277036,630784,0.803032398223877
1783280757.8496995,638976,0.794475257396698
1783280818.545222,640000,0.7489197850227356
1783280940.525244,655360,0.77663654088974
1783281008.671858,663552,0.8043491244316101
1783281077.3999884,671744,0.8552126288414001
1783281146.1041806,679936,0.7599165439605713
1783281199.4803324,680000,0.7702800631523132
1783281328.4624972,696320,0.8670983910560608
1783281397.3081777,704512,0.8298298716545105
1783281466.1680944,712704,0.8671755790710449
1783281569.0719733,720000,0.847391664981842
1783281644.534951,729088,0.7862076759338379
1783281713.1289701,737280,0.7617377042770386
1783281782.1588824,745472,0.8450391292572021
1783281849.8102677,753664,0.9031069874763489
1783281949.7927928,760000,0.7441563606262207
1783282031.9513535,770048,0.8680388927459717
1783282100.4709702,778240,0.8201332092285156
1783282168.983148,786432,0.8412898778915405
1783282237.354968,794624,0.905899167060852
1783282328.1220822,800000,0.9225807785987854
1783282418.075485,811008,0.9063719511032104
