Wall time,Step,Value
1783274924.5843358,8192,1000.0
1783274991.095525,16384,1000.0
1783275057.6802273,24576,1000.0
1783275125.1479256,32768,1000.0
1783275232.2464197,40960,1000.0
1783275342.9998655,49152,1000.0
1783275410.7268524,57344,1000.0
1783275478.1810708,65536,1000.0
1783275545.7624614,73728,1000.0
1783275627.7325058,81920,1000.0
1783275695.8422852,90112,1000.0
1783275764.3334126,98304,1000.0
1783275832.6892736,106496,1000.0
1783275901.2512476,114688,995.530029296875
1783275981.249711,122880,995.530029296875
1783276049.4932723,131072,995.530029296875
1783276117.731326,139264,995.530029296875
1783276185.4138966,147456,995.530029296875
1783276252.7184286,155648,995.530029296875
1783276344.7658908,163840,989.5599975585938
1783276412.821276,172032,987.1799926757812
1783276480.4588537,180224,985.1300048828125
1783276547.7476306,188416,984.1400146484375
1783276615.753231,196608,979.8300170898438
1783276717.6223085,204800,979.8300170898438
1783276785.28463,212992,981.0900268554688
1783276853.5256968,221184,980.9199829101562
1783276921.194116,229376,980.9199829101562
1783276988.4214513,237568,977.0599975585938
1783277094.7725515,245760,977.0599975585938
1783277162.7833397,253952,977.0599975585938
1783277230.5052173,262144,983.030029296875
1783277298.1568143,270336,985.4099731445312
1783277366.2649128,278528,987.4600219726562
1783277475.8568506,286720,988.1199951171875
1783277544.0746694,294912,987.219970703125
1783277612.3264775,303104,986.47998046875
1783277680.1555088,311296,984.02001953125
1783277747.8055751,319488,975.6799926757812
1783277857.9565246,327680,975.6799926757812
1783277926.0963433,335872,979.5399780273438
1783277994.5659654,344064,977.989990234375
1783278062.755489,352256,977.989990234375
1783278171.9168823,360448,977.989990234375
1783278239.8438225,368640,973.0700073242188
1783278308.1167397,376832,963.510009765625
1783278376.6625462,385024,960.8300170898438
1783278445.2529383,393216,960.8300170898438
1783278559.0587757,401408,961.8599853515625
1783278626.942424,409600,954.0399780273438
1783278695.2068663,417792,961.6500244140625
1783278763.41163,425984,955.52001953125
1783278832.2620966,434176,947.3699951171875
1783278944.9712927,442368,945.989990234375
1783279012.7999952,450560,945.989990234375
1783279080.9187248,458752,941.5700073242188
1783279149.5321703,466944,944.27001953125
1783279217.6410363,475136,946.5999755859375
1783279331.51941,483328,946.5999755859375
1783279399.5434396,491520,945.4199829101562
1783279467.7324712,499712,946.6699829101562
1783279536.2294738,507904,939.739990234375
1783279604.4301069,516096,941.3800048828125
1783279712.902833,524288,945.8300170898438
1783279780.9626293,532480,942.9199829101562
1783279849.2002053,540672,939.219970703125
1783279917.3880825,548864,938.0399780273438
1783279986.543149,557056,944.030029296875
1783280100.2658887,565248,949.8200073242188
1783280168.333696,573440,949.7000122070312
1783280237.0447774,581632,949.7000122070312
1783280305.5216827,589824,950.8800048828125
1783280373.8806164,598016,949.719970703125
1783280484.7466855,606208,963.72998046875
1783280552.506432,614400,954.7100219726562
1783280620.574184,622592,959.9600219726562
1783280688.9277036,630784,962.8699951171875
1783280757.8496995,638976,968.5800170898438
1783280872.154578,647168,962.760009765625
1783280940.5242443,655360,962.760009765625
1783281008.671858,663552,973.1900024414062
1783281077.3999884,671744,973.1900024414062
1783281146.1041806,679936,973.1900024414062
1783281260.2758086,688128,971.760009765625
1783281328.4624972,696320,983.1300048828125
1783281397.3081777,704512,983.4000244140625
1783281466.1680944,712704,984.6199951171875
1783281575.9161057,720896,984.6199951171875
1783281644.534951,729088,984.6199951171875
1783281713.1289701,737280,979.52001953125
1783281782.1588824,745472,984.22998046875
1783281849.8102677,753664,967.9000244140625
1783281963.5504973,761856,967.9000244140625
1783282031.9513535,770048,963.0800170898438
1783282100.4709702,778240,963.0800170898438
1783282168.983148,786432,960.969970703125
1783282237.354968,794624,958.0700073242188
1783282349.6520507,802816,960.5900268554688
1783282418.075485,811008,953.8699951171875
1783282486.653095,819200,951.4600219726562
1783282554.8187237,827392,956.5599975585938
1783282623.2680867,835584,947.8900146484375
1783282737.0756574,843776,957.2899780273438
1783282805.3749993,851968,951.1500244140625
1783282873.8727405,860160,951.1500244140625
1783282941.882783,868352,951.9099731445312
1783283010.0258925,876544,952.72998046875
